Name,Calls,TotalDurationNs,AverageNs,Percentage
hipMemcpy,4,69425714,17356428,97.7834064258833
hipMalloc,3,921420,307140,1.29778407967021
hipLaunchKernel,85,360160,4237,0.507271292281504
hipEventSynchronize,3,60320,20106,0.0849583639227575
__hipPopCallConfiguration,85,57540,676,0.0810428425085456
__hipPushCallConfiguration,85,52560,618,0.0740287070255328
hipFree,3,49990,16663,0.0704089624087972
hipEventRecord,6,32700,5450,0.0460566727499034
hipEventElapsedTime,3,23520,7840,0.0331270013173617
hipEventCreate,6,12020,2003,0.0169297005031755
hipEventDestroy,6,3540,590,0.00498595172888862
